iteration,seconds
1,0.010193200000003344
2,0.00026629999999272513
3,0.00011359999999172032
4,9.940000001051885e-05
5,9.509999998158492e-05
6,9.439999999472093e-05
7,9.380000000192013e-05
8,0.00014529999998558196
9,9.860000000116997e-05
10,9.239999999977044e-05
11,8.830000001580629e-05
12,9.130000000823202e-05
13,8.869999999205902e-05
14,8.800000000519503e-05
15,8.690000001365661e-05
16,0.00011719999997694686
17,9.119999998574713e-05
18,8.940000000734472e-05
19,9.14000000022952e-05
20,8.869999999205902e-05
21,8.730000001833105e-05
22,8.900000000267028e-05
23,8.739999998397252e-05
24,8.790000001113185e-05
25,8.809999999925822e-05
26,0.0002673000000186221
27,0.00010449999999195825
28,9.339999999724569e-05
29,9.049999999888314e-05
30,8.940000000734472e-05
31,8.960000002389279e-05
32,9.090000000355758e-05
33,9.06999999870095e-05
34,9.579999999687061e-05
35,9.039999997639825e-05
36,9.02000000166936e-05
37,0.0019265999999902306
38,0.0005722999999875356
39,0.00011409999999045795
40,9.620000000154505e-05
41,9.420000000659456e-05
42,9.289999999850806e-05
43,0.00010689999999158317
44,9.339999999724569e-05
45,9.170000001290646e-05
46,9.1999999995096e-05
47,9.059999999294632e-05
48,9.109999999168394e-05
49,0.00010560000001191838
50,9.359999998537205e-05
51,0.0006115999999849464
52,0.00012499999999704414
53,0.00014749999999708052
54,9.829999999055872e-05
55,9.300000002099296e-05
56,9.520000000406981e-05
57,9.180000000696964e-05
58,9.370000000785694e-05
59,9.409999998410967e-05
60,4.781430099999994
61,2.1871718999999814
62,2.908782899999977
63,1.9395032000000185
64,3.771502499999997
65,1.9149279000000092
66,2.270842200000004
67,2.650421599999987
68,2.230398000000008
69,1.6655556999999988
70,2.0703913000000114
71,2.2721290000000067
72,2.074709299999995
73,1.3376981000000114
74,2.440614199999999
75,2.2787807999999927
76,4.489409600000016
77,1.5105900000000076
78,2.220062200000001
79,2.8431003000000032
80,2.519677700000017
81,3.2454611
82,1.5047518000000082
83,1.6986283999999898
84,3.6377224999999953
85,4.523743599999989
86,3.4795488999999975
87,4.876942799999995
88,3.0752529000000095
89,3.905167299999988
90,2.7234717999999987
91,2.358068799999984
92,2.5604197000000113
93,2.166306200000008
94,2.353271700000022
95,2.41640959999998
96,2.321011800000008
97,2.2317785000000185
98,2.5514195999999743
99,2.8060120000000097
100,2.8285512999999582
101,3.269988899999987
102,2.9117718999999624
103,3.4381945000000087
104,2.945531399999993
105,2.8333582999999862
106,2.8087537999999768
107,3.002480099999957
108,2.934755999999993
109,3.0949366000000396
110,3.23239430000001
111,5.637865900000008
112,3.2337641000000303
113,3.025442700000042
114,3.2258640000000014
115,3.854072599999995
116,3.111389700000018
117,3.1875885999999696
118,3.5134871000000203
119,3.687720499999955
120,3.6432144000000335
121,3.727220499999987
122,4.004379700000015
123,3.361603500000001
124,3.760739200000046
125,3.7650432000000364
126,3.5131238999999823
127,4.26427179999996
128,3.8275330000000167
129,4.0889847999999915
130,3.5911528999999973
131,3.48373799999996
132,3.51051769999998
133,3.4931612000000314
134,3.409476999999981
135,3.449448000000018
136,3.2572045000000003
137,3.2376014999999825
138,3.5577754000000255
139,3.9887588999999934
140,4.355042700000013
141,4.95437940000005
142,7.922444100000007
143,4.543787500000008
144,3.815059499999961
145,3.902596200000005
146,5.118813100000011
147,4.691974499999958
148,4.240684000000044
149,5.188343499999974
150,5.026520000000005
151,4.7414708999999675
152,4.090235800000016
153,4.489642300000014
154,4.597260500000004
155,4.386430399999995
156,4.123742900000025
157,4.4447092999999995
158,4.253416000000016
159,4.54697660000005
160,4.34139110000001
161,4.7429434000000015
162,4.606541199999924
163,4.4973092999999835
164,4.377837699999986
165,4.775411400000053
166,4.725135099999989
167,5.13034760000005
168,5.1025511999999935
169,5.1344627999999375
170,4.486024400000019
171,4.431837900000005
172,4.116494399999965
173,3.597726499999908
174,2.594752999999969
175,5.2035971000000245
176,5.276545400000032
177,4.607657399999994
178,4.830450799999994
179,4.820747299999994
180,2.8645844000000125
181,5.580148399999985
182,5.941646100000071
183,6.158686400000079
184,6.005162799999994
185,5.032058600000028
186,3.7337885999999116
187,4.819039900000007
188,7.306869000000006
189,6.6148986000000605
190,5.531776799999989
191,4.01621949999992
192,6.885488699999996
193,7.471382500000004
194,5.781515300000024
195,5.58777520000001
196,4.445746699999972
197,7.484941100000015
198,7.633547200000066
199,6.2480319999999665
200,3.538709600000061
201,5.92319329999998
202,5.984996600000045
203,3.279299100000003
204,3.3964910000000827
205,3.240429699999936
206,2.7455148000000236
207,3.2270315999999184
208,2.7023357000000487
209,2.8775044999999864
210,3.068536999999992
211,2.9682511000000886
212,3.399316399999975
213,3.228069699999992
214,3.0296165999999403
215,3.7868968000000223
216,3.053153899999984
217,3.152752600000099
218,3.419379499999991
219,3.2069245999999794
220,3.5176826000000574
221,3.8192282999999634
222,3.5549594999999954
223,3.869703299999969
224,3.664045500000043
225,3.3190832000000228
226,3.7276687999999467
227,3.379363200000057
228,3.208204500000079
229,3.959128400000054
230,3.539332400000035
231,3.6140159000000267
232,3.7975278000000117
233,3.922769600000038
234,3.7920854999999847
235,3.7567688999999973
236,4.498506499999962
237,4.08983760000001
238,3.949423900000056
239,3.669776299999967
240,3.944786299999919
241,4.241908500000022
242,4.224092299999938
243,4.2422842999999375
244,4.31917820000001
245,3.8611528000000135
246,3.9923638999999866
247,4.0416713000000755
248,3.8771668000000545
249,4.040629200000012
250,3.8930160999999543
251,4.190102799999977
252,4.118710799999917
253,4.526987500000018
254,4.670141000000058
255,4.606159199999979
256,3.9607800999999654
257,4.599832200000037
258,4.4151858000000175
259,4.365779900000007
260,4.599889599999983
261,5.064735700000028
262,4.760573000000022
263,4.741863599999988
264,4.702341300000057
265,5.101591000000099
266,5.019793400000026
267,5.670304500000043
268,5.288036299999931
269,5.640281899999991
