run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_geko_default,baseline,2.968347314,18.9186,true,1.75,0.5,0,2,1
alpha1.0_Re2800_Csep1.3643_Cnw-1.8964_Cmix0.8086_Cjet0.7278_Cturb2.2738,optimizer,4.661368559,17.0276,true,1.364306727,-1.896435116,0.8086272794,2.273752653,0.7277817233
alpha1.0_Re2800_Csep2.2643_Cnw0.1036_Cmix0.2086_Cjet0.1278_Cturb1.2738,optimizer,3.106809157,16.9680,true,2.264306727,0.1035648836,0.2086272794,1.273752653,0.1277817233
alpha1.0_Re2800_Csep0.9143_Cnw-0.8964_Cmix0.5086_Cjet0.4278_Cturb0.7738,optimizer,2.868720202,15.4078,true,0.914306727,-0.8964351164,0.5086272794,0.773752653,0.4277817233
alpha1.0_Re2800_Csep1.8143_Cnw1.1036_Cmix-0.0914_Cjet1.0278_Cturb1.7738,optimizer,3.428307913,21.8347,true,1.814306727,1.103564884,-0.09137272064,1.773752653,1.027781723
alpha1.0_Re2800_Csep2.0393_Cnw-0.3964_Cmix0.3586_Cjet0.5778_Cturb0.5238,optimizer,2.648310752,16.3450,true,2.039306727,-0.3964351164,0.3586272794,0.523752653,0.5777817233
alpha1.0_Re2800_Csep1.1393_Cnw1.6036_Cmix0.9586_Cjet1.1778_Cturb1.5238,optimizer,2.5923015,16.8247,true,1.139306727,1.603564884,0.9586272794,1.523752653,1.177781723
alpha1.0_Re2800_Csep2.4893_Cnw-1.3964_Cmix0.0586_Cjet0.8778_Cturb1.0238,optimizer,3.976313691,18.1678,true,2.489306727,-1.396435116,0.05862727936,1.023752653,0.8777817233
alpha1.0_Re2800_Csep1.5893_Cnw0.6036_Cmix0.6586_Cjet0.2778_Cturb2.0238,optimizer,2.959153588,17.7126,true,1.589306727,0.6035648836,0.6586272794,2.023752653,0.2777817233
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet0_Cturb0.5,optimizer,5.475268139,14.2227,true,0.7,2,1,0.5,0
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet0_Cturb2.5,optimizer,4.859431023,18.4700,true,2.5,2,1,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet0_Cturb2.5,optimizer,3.617611598,18.9134,true,0.7,2,-0.2,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,7.482403671,22.1980,true,0.7,-2,-0.2,0.5,0
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet1.2_Cturb0.5,optimizer,4.275730334,13.8764,true,0.7,-2,1,0.5,1.2
alpha1.0_Re2800_Csep2.0081_Cnw-0.1645_Cmix0.4659_Cjet0.5453_Cturb0.5,optimizer,2.908311631,15.6395,true,2.008052498,-0.1644690779,0.4659393521,0.5,0.5452693862
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2_Cturb0.5,optimizer,5.683791863,22.9955,true,0.7,2,-0.2,0.5,1.2
alpha1.0_Re2800_Csep1.1349_Cnw1.7041_Cmix0.9887_Cjet1.2_Cturb1.5778,optimizer,2.646803448,16.4777,true,1.134948607,1.704079149,0.9887147026,1.5778481,1.2
alpha1.0_Re2800_Csep1.1424_Cnw1.538_Cmix0.9391_Cjet1.1641_Cturb1.489,optimizer,2.557469925,16.5632,true,1.14235145,1.537984786,0.9391426694,1.488998899,1.164077171
alpha1.0_Re2800_Csep1.145_Cnw1.4839_Cmix0.9232_Cjet1.1533_Cturb1.4607,optimizer,2.529259921,16.3268,true,1.145014832,1.483855973,0.923176981,1.460720454,1.15326418
alpha1.0_Re2800_Csep1.15_Cnw1.3931_Cmix0.8964_Cjet1.1359_Cturb1.414,optimizer,2.482867748,16.6425,true,1.150042639,1.393080728,0.8964304113,1.413976225,1.135920518
alpha1.0_Re2800_Csep1.1537_Cnw1.3335_Cmix0.8789_Cjet1.125_Cturb1.3839,optimizer,2.453126588,16.2984,true,1.153720589,1.333479521,0.8789229469,1.38389092,1.125033392
alpha1.0_Re2800_Csep1.1596_Cnw1.2449_Cmix0.8532_Cjet1.1094_Cturb1.3405,optimizer,2.409979256,16.7399,true,1.159603192,1.244896513,0.8532493247,1.340546682,1.109399016
alpha1.0_Re2800_Csep1.1652_Cnw1.1659_Cmix0.831_Cjet1.0959_Cturb1.3035,optimizer,2.372632609,16.3055,true,1.165241809,1.165932221,0.8309850058,1.303530906,1.095945074
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix1_Cjet1.2_Cturb0.5,optimizer,4.952567581,16.0981,true,2.5,2,1,0.5,1.2
alpha1.0_Re2800_Csep1.1717_Cnw1.0656_Cmix0.8038_Cjet1.0793_Cturb1.2594,optimizer,2.326729969,16.4727,true,1.17173947,1.065555511,0.8037727429,1.259436556,1.079289222
alpha1.0_Re2800_Csep1.176_Cnw0.97_Cmix0.7794_Cjet1.0637_Cturb1.2227,optimizer,2.28481984,16.6692,true,1.175971858,0.9699766769,0.7793571168,1.22265569,1.063730095
alpha1.0_Re2800_Csep1.1781_Cnw0.8442_Cmix0.7488_Cjet1.0431_Cturb1.1851,optimizer,2.231420437,16.4371,true,1.178092124,0.8442266253,0.7488335525,1.18509871,1.043103685
alpha1.0_Re2800_Csep1.176_Cnw0.7197_Cmix0.7199_Cjet1.0219_Cturb1.1592,optimizer,2.179455708,16.2040,true,1.175954151,0.7196988789,0.7199296589,1.159164541,1.02191019
alpha1.0_Re2800_Csep1.1686_Cnw0.5752_Cmix0.6877_Cjet0.9958_Cturb1.1401,optimizer,2.121115484,16.0062,true,1.168581364,0.5751662611,0.6876609139,1.140094488,0.9958165182
alpha1.0_Re2800_Csep1.16_Cnw0.4626_Cmix0.6633_Cjet0.9736_Cturb1.1327,optimizer,2.109960756,16.2407,true,1.160014242,0.4626360901,0.6632534693,1.13273358,0.9736193633
alpha1.0_Re2800_Csep1.1038_Cnw0.4915_Cmix0.6843_Cjet0.985_Cturb1.1645,optimizer,2.111479624,15.9051,true,1.10382488,0.4915279816,0.6843218904,1.164504454,0.9849939258
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix0.7944_Cjet1.2_Cturb2.5,optimizer,3.569404793,16.2469,true,0.7,2,0.7944006103,2.5,1.2
alpha1.0_Re2800_Csep1.1326_Cnw0.4401_Cmix0.6964_Cjet0.9798_Cturb1.1056,optimizer,2.133324358,15.8343,true,1.13263167,0.4400641691,0.696447806,1.10561806,0.97979087
alpha1.0_Re2800_Csep1.146_Cnw0.5302_Cmix0.6542_Cjet0.9821_Cturb1.183,optimizer,2.105585547,15.8954,true,1.146041943,0.5302442855,0.6541863041,1.182981821,0.982064266
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix1_Cjet0_Cturb0.5,optimizer,4.695746752,13.9963,true,2.5,-2,1,0.5,0
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,5.18445123,23.4579,true,2.5,2,-0.2,0.5,0
alpha1.0_Re2800_Csep1.1215_Cnw0.5691_Cmix0.6521_Cjet0.9644_Cturb1.1382,optimizer,2.130454817,23.9875,true,1.12150108,0.5691262202,0.6520952805,1.138217486,0.9644347631
alpha1.0_Re2800_Csep1.1673_Cnw0.4599_Cmix0.6662_Cjet1.0053_Cturb1.1932,optimizer,2.107430006,25.4547,true,1.167281446,0.4598703438,0.6662282614,1.193171115,1.005308148
alpha1.0_Re2800_Csep1.1667_Cnw0.4908_Cmix0.6759_Cjet0.9646_Cturb1.2031,optimizer,2.102936795,25.4260,true,1.166710606,0.4907584547,0.6758996078,1.203059954,0.9645566635
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix-0.2_Cjet0_Cturb2.5,optimizer,6.620882747,34.9495,true,2.5,-2,-0.2,2.5,0
alpha1.0_Re2800_Csep1.5476_Cnw-0.0234_Cmix0.4549_Cjet0.6107_Cturb1.1353,optimizer,2.428161689,25.9475,true,1.547587244,-0.02336396039,0.4549460655,1.135269756,0.610708871
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,5.060929352,34.9895,true,2.5,2,-0.2,2.5,1.2
alpha1.0_Re2800_Csep0.7_Cnw-0.135_Cmix1_Cjet0_Cturb2.5,optimizer,2.777552081,23.3550,true,0.7,-0.1349659368,1,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw0.9058_Cmix1_Cjet1.2_Cturb1.3822,optimizer,2.810742268,23.4851,true,0.7,0.9057955881,1,1.382161493,1.2
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,3.364526617,28.3967,true,0.7,-2,-0.2,2.5,1.2
alpha1.0_Re2800_Csep1.6849_Cnw-0.4808_Cmix0.3023_Cjet0.9513_Cturb0.5,optimizer,2.494888358,24.1506,true,1.68485542,-0.4807783049,0.3022646816,0.5,0.951332706
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet0_Cturb1.5461,optimizer,3.565422278,23.2611,true,0.7,-2,1,1.546123604,0
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix1_Cjet0_Cturb2.5,optimizer,3.811199509,24.3733,true,0.7,2,1,2.5,0
alpha1.0_Re2800_Csep1.0595_Cnw0.563_Cmix0.716_Cjet0.9556_Cturb1.3394,optimizer,2.150290705,24.6733,true,1.059543955,0.5629577963,0.7159606291,1.339447122,0.9556355429
alpha1.0_Re2800_Csep2.5_Cnw0.0243_Cmix-0.2_Cjet1.2_Cturb0.5,optimizer,5.488436815,35.4132,true,2.5,0.0243006197,-0.2,0.5,1.2
alpha1.0_Re2800_Csep1.5828_Cnw-0.889_Cmix0.4079_Cjet0.7385_Cturb0.589,optimizer,2.71157005,23.7271,true,1.582830664,-0.8889584784,0.4078999928,0.58897639,0.7384510927
alpha1.0_Re2800_Csep1.4997_Cnw0.3271_Cmix0.4918_Cjet0.9558_Cturb1.0892,optimizer,2.149443884,25.3409,true,1.499718237,0.3270895894,0.4918306586,1.089225111,0.9558252913
alpha1.0_Re2800_Csep1.6966_Cnw0.1203_Cmix0.3494_Cjet0.8525_Cturb1.014,optimizer,2.273436494,24.9300,true,1.696631885,0.1203194943,0.3493635435,1.01400682,0.852458131
