run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cjet,geko_cturb,geko_cmix
ffs_Reh6000_geko_default,baseline,0.6327296263,58.2217,true,1.75,0.5,1,2,0
ffs_Reh6000_Csep0.7102_Cnw-1.931_Cmix0.4259_Cjet0.0266_Cturb1.7688,optimizer,0.33934673,28.3108,true,0.7102098745,-1.930989423,0.02663870901,1.768849983,0.4259035228
ffs_Reh6000_Csep1.6102_Cnw0.069_Cmix-0.1741_Cjet0.6266_Cturb2.2688,optimizer,0.371614177,35.0397,true,1.610209874,0.06901057653,0.626638709,2.268849983,-0.1740964772
ffs_Reh6000_Csep2.0602_Cnw-0.931_Cmix0.1259_Cjet0.9266_Cturb2.0188,optimizer,0.3663224892,29.9916,true,2.060209874,-0.9309894235,0.926638709,2.018849983,0.1259035228
ffs_Reh6000_Csep1.1602_Cnw1.069_Cmix0.7259_Cjet0.3266_Cturb1.5188,optimizer,0.2363366049,26.3405,true,1.160209874,1.069010577,0.326638709,1.518849983,0.7259035228
ffs_Reh6000_Csep1.3852_Cnw-0.431_Cmix0.2759_Cjet0.7766_Cturb1.8938,optimizer,0.260944679,27.0479,true,1.385209874,-0.4309894235,0.776638709,1.893849983,0.2759035228
ffs_Reh6000_Csep2.2852_Cnw1.569_Cmix0.8759_Cjet0.1766_Cturb2.3938,optimizer,0.3661561014,28.7551,true,2.285209874,1.569010577,0.176638709,2.393849983,0.8759035228
ffs_Reh6000_Csep1.8352_Cnw-1.431_Cmix0.5759_Cjet0.4766_Cturb2.1438,optimizer,0.3598676476,28.0231,true,1.835209874,-1.430989423,0.476638709,2.143849983,0.5759035228
ffs_Reh6000_Csep0.9352_Cnw0.569_Cmix-0.0241_Cjet1.0766_Cturb1.6438,optimizer,0.2066586861,33.1499,true,0.9352098745,0.5690105765,1.076638709,1.643849983,-0.0240964772
ffs_Reh6000_Csep1.0477_Cnw-0.681_Cmix-0.0991_Cjet0.4016_Cturb2.4563,optimizer,0.2920700569,31.5967,true,1.047709874,-0.6809894235,0.401638709,2.456349983,-0.0990964772
ffs_Reh6000_Csep1.9477_Cnw1.319_Cmix0.5009_Cjet1.0016_Cturb1.9563,optimizer,0.2717132195,28.1017,true,1.947709874,1.319010577,1.001638709,1.956349983,0.5009035228
ffs_Reh6000_Csep2.3977_Cnw-1.681_Cmix0.8009_Cjet0.7016_Cturb1.7063,optimizer,0.3322816874,27.0109,true,2.397709874,-1.680989423,0.701638709,1.706349983,0.8009035228
ffs_Reh6000_Csep1.4977_Cnw0.319_Cmix0.2009_Cjet0.1016_Cturb2.2063,optimizer,0.2749135575,28.6693,true,1.497709874,0.3190105765,0.101638709,2.206349983,0.2009035228
ffs_Reh6000_Csep1.2727_Cnw-1.181_Cmix0.9509_Cjet1.1516_Cturb2.3313,optimizer,0.3057587155,27.3194,true,1.272709874,-1.180989423,1.151638709,2.331349983,0.9509035228
ffs_Reh6000_Csep2.1727_Cnw0.819_Cmix0.3509_Cjet0.5516_Cturb1.8313,optimizer,0.2739565964,28.6022,true,2.172709874,0.8190105765,0.551638709,1.831349983,0.3509035228
ffs_Reh6000_Csep1.7227_Cnw-0.181_Cmix0.0509_Cjet0.2516_Cturb1.5813,optimizer,0.2914963724,29.3869,true,1.722709874,-0.1809894235,0.251638709,1.581349983,0.0509035228
ffs_Reh6000_Csep0.8227_Cnw1.819_Cmix0.6509_Cjet0.8516_Cturb2.0813,optimizer,0.319140047,26.9425,true,0.8227098745,1.819010577,0.851638709,2.081349983,0.6509035228
ffs_Reh6000_Csep0.879_Cnw-0.056_Cmix0.7634_Cjet1.0391_Cturb2.1751,optimizer,0.2445125047,26.9629,true,0.8789598745,-0.05598942347,1.039138709,2.175099983,0.7634035228
ffs_Reh6000_Csep1.779_Cnw1.944_Cmix0.1634_Cjet0.4391_Cturb1.6751,optimizer,0.3009669084,29.2213,true,1.778959874,1.944010577,0.439138709,1.675099983,0.1634035228
ffs_Reh6000_Csep2.229_Cnw-1.056_Cmix-0.1366_Cjet0.1391_Cturb1.9251,optimizer,0.4980569035,33.1467,true,2.228959874,-1.055989423,0.139138709,1.925099983,-0.1365964772
ffs_Reh6000_Csep1.329_Cnw0.944_Cmix0.4634_Cjet0.7391_Cturb2.4251,optimizer,0.2564269152,28.0669,true,1.328959874,0.9440105765,0.739138709,2.425099983,0.4634035228
ffs_Reh6000_Csep1.554_Cnw-1.556_Cmix0.0134_Cjet0.5891_Cturb2.0501,optimizer,0.3955396494,29.2906,true,1.553959874,-1.555989423,0.589138709,2.050099983,0.0134035228
ffs_Reh6000_Csep2.454_Cnw0.444_Cmix0.6134_Cjet1.1891_Cturb1.5501,optimizer,0.2250972878,26.3043,true,2.453959874,0.4440105765,1.189138709,1.550099983,0.6134035228
ffs_Reh6000_Csep2.004_Cnw-0.556_Cmix0.9134_Cjet0.8891_Cturb1.8001,optimizer,0.2631512339,26.8005,true,2.003959874,-0.5559894235,0.889138709,1.800099983,0.9134035228
ffs_Reh6000_Csep1.104_Cnw1.444_Cmix0.3134_Cjet0.2891_Cturb2.3001,optimizer,0.2533829639,27.1174,true,1.103959874,1.444010577,0.289138709,2.300099983,0.3134035228
ffs_Reh6000_Csep0.9915_Cnw-1.306_Cmix0.2384_Cjet0.6641_Cturb1.6126,optimizer,0.2705289169,27.3432,true,0.9914598745,-1.305989423,0.664138709,1.612599983,0.2384035228
ffs_Reh6000_Csep1.8915_Cnw0.694_Cmix0.8384_Cjet0.0641_Cturb2.1126,optimizer,0.2680456256,27.5849,true,1.891459874,0.6940105765,0.06413870901,2.112599983,0.8384035228
ffs_Reh6000_Csep2.3415_Cnw-0.306_Cmix0.5384_Cjet0.3641_Cturb2.3626,optimizer,0.3648878984,28.9640,true,2.341459874,-0.3059894235,0.364138709,2.362599983,0.5384035228
ffs_Reh6000_Csep1.4415_Cnw1.694_Cmix-0.0616_Cjet0.9641_Cturb1.8626,optimizer,0.3137852025,32.7951,true,1.441459874,1.694010577,0.964138709,1.862599983,-0.0615964772
ffs_Reh6000_Csep1.2165_Cnw-0.806_Cmix0.6884_Cjet0.2141_Cturb1.7376,optimizer,0.253598574,26.2273,true,1.216459874,-0.8059894235,0.214138709,1.737599983,0.6884035228
ffs_Reh6000_Csep2.1165_Cnw1.194_Cmix0.0884_Cjet0.8141_Cturb2.2376,optimizer,0.3503714678,30.9631,true,2.116459874,1.194010577,0.814138709,2.237599983,0.0884035228
ffs_Reh6000_Csep1.6665_Cnw-1.806_Cmix0.3884_Cjet1.1141_Cturb2.4876,optimizer,0.4088940116,28.2138,true,1.666459874,-1.805989423,1.114138709,2.487599983,0.3884035228
ffs_Reh6000_Csep0.7665_Cnw0.194_Cmix0.9884_Cjet0.5141_Cturb1.9876,optimizer,0.2811669131,26.2310,true,0.7664598745,0.1940105765,0.514138709,1.987599983,0.9884035228
ffs_Reh6000_Csep0.7_Cnw-0.0691_Cmix-0.0138_Cjet1.2_Cturb1.5,optimizer,0.2631272458,39.1650,true,0.7,-0.06911874356,1.2,1.5,-0.01381273313
ffs_Reh6000_Csep0.7_Cnw1.5225_Cmix-0.2_Cjet0_Cturb1.5,optimizer,0.3433036248,55.1792,true,0.7,1.522512655,0,1.5,-0.2
ffs_Reh6000_Csep0.7_Cnw0.2557_Cmix0.303_Cjet0.2521_Cturb2.5,optimizer,0.2928865072,27.4037,true,0.7,0.2556556701,0.2521491099,2.5,0.3029958546
ffs_Reh6000_Csep2.5_Cnw1.3311_Cmix1_Cjet0_Cturb1.5,optimizer,0.2447116361,25.0914,true,2.5,1.331084443,0,1.5,1
ffs_Reh6000_Csep0.7_Cnw0.384_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,0.2730246769,32.4275,true,0.7,0.3840142406,1.2,2.5,-0.2
ffs_Reh6000_Csep1.4389_Cnw0.4576_Cmix0.4817_Cjet1.2_Cturb1.5,optimizer,0.1897075855,24.9650,true,1.438853671,0.457645709,1.2,1.5,0.4817494688
ffs_Reh6000_Csep1.2204_Cnw0.536_Cmix0.3004_Cjet0.8659_Cturb1.5,optimizer,0.1924690112,26.3951,true,1.220382054,0.5360131001,0.8659407669,1.5,0.3004015716
ffs_Reh6000_Csep1.8059_Cnw-0.2005_Cmix1_Cjet0_Cturb1.5,optimizer,0.2214289676,25.5038,true,1.805860028,-0.2005236629,0,1.5,1
ffs_Reh6000_Csep1.561_Cnw0.4147_Cmix0.2847_Cjet1.2_Cturb1.5,optimizer,0.20426538,26.8024,true,1.560957447,0.4146540051,1.2,1.5,0.2847116797
ffs_Reh6000_Csep1.5254_Cnw0.1374_Cmix1_Cjet1.2_Cturb1.5,optimizer,0.2005459517,24.9432,true,1.525429416,0.1373610851,1.2,1.5,1
ffs_Reh6000_Csep1.5679_Cnw0.3256_Cmix0.6603_Cjet0.9479_Cturb1.5,optimizer,0.1892732877,25.1666,true,1.567911226,0.3256174289,0.9479195798,1.5,0.6602842168
ffs_Reh6000_Csep0.7_Cnw0.4796_Cmix0.1283_Cjet0.8519_Cturb1.7683,optimizer,0.2637347808,30.4602,true,0.7,0.4795554848,0.8518956863,1.768329358,0.1282574965
ffs_Reh6000_Csep1.5156_Cnw0.9854_Cmix0.7763_Cjet1.2_Cturb1.5,optimizer,0.2012970574,25.2443,true,1.515622683,0.9853552319,1.2,1.5,0.7763431686
ffs_Reh6000_Csep2.5_Cnw2_Cmix1_Cjet1.2_Cturb1.5,optimizer,0.2530887212,25.1049,true,2.5,2,1.2,1.5,1
ffs_Reh6000_Csep0.8181_Cnw2_Cmix-0.2_Cjet0_Cturb2.5,optimizer,0.3450898651,33.7812,true,0.8181244371,2,0,2.5,-0.2
ffs_Reh6000_Csep1.8489_Cnw0.4037_Cmix0.7322_Cjet0.4323_Cturb1.5,optimizer,0.1983692908,24.6959,true,1.848870886,0.4037271361,0.4323063506,1.5,0.7321586581
ffs_Reh6000_Csep1.096_Cnw1.0461_Cmix0.1233_Cjet1.2_Cturb1.5,optimizer,0.2180799386,27.8971,true,1.095978521,1.046078166,1.2,1.5,0.1232770187
ffs_Reh6000_Csep1.7748_Cnw0.9114_Cmix0.5893_Cjet0_Cturb1.5,optimizer,0.2164308437,25.3774,true,1.774777203,0.9114396667,0,1.5,0.5893135118
ffs_Reh6000_Csep1.3071_Cnw0.2566_Cmix0.6106_Cjet1.2_Cturb1.662,optimizer,0.2004593496,25.8802,true,1.307127978,0.25657942,1.2,1.661967102,0.6105965448
ffs_Reh6000_Csep2.5_Cnw0.2215_Cmix1_Cjet1.2_Cturb1.5,optimizer,0.2152913833,25.0465,true,2.5,0.2214651184,1.2,1.5,1
ffs_Reh6000_Csep0.8726_Cnw0.8267_Cmix1_Cjet1.2_Cturb2.5,optimizer,0.2567204206,26.3460,true,0.872561275,0.826737982,1.2,2.5,1
ffs_Reh6000_Csep1.0809_Cnw0.4161_Cmix-0.2_Cjet0.9282_Cturb1.5,optimizer,0.3097806574,41.8220,true,1.080877326,0.416093945,0.9282226504,1.5,-0.2
ffs_Reh6000_Csep1.0588_Cnw0.431_Cmix0.1407_Cjet1.2_Cturb1.7069,optimizer,0.2015368779,27.6448,true,1.058801385,0.4309669234,1.2,1.706916576,0.1407131932
ffs_Reh6000_Csep1.467_Cnw0.0674_Cmix0.4639_Cjet0.8096_Cturb1.5,optimizer,0.2047875061,25.3642,true,1.467041681,0.06740987034,0.809593557,1.5,0.4639003896
ffs_Reh6000_Csep0.7_Cnw-2_Cmix1_Cjet1.2_Cturb1.5,optimizer,0.3532887103,26.2743,true,0.7,-2,1.2,1.5,1
ffs_Reh6000_Csep2.5_Cnw0.7163_Cmix1_Cjet0.6602_Cturb1.5,optimizer,0.2140000751,24.8862,true,2.5,0.7162511275,0.6602057777,1.5,1
ffs_Reh6000_Csep1.778_Cnw0.7789_Cmix1_Cjet0.813_Cturb1.5,optimizer,0.1917010053,24.3627,true,1.778038446,0.7789000843,0.8130364384,1.5,1
ffs_Reh6000_Csep1.8511_Cnw0.5128_Cmix0.7881_Cjet1.1076_Cturb1.5,optimizer,0.1866231684,24.8406,true,1.851059692,0.5127551367,1.1076479,1.5,0.7880531985
ffs_Reh6000_Csep2.5_Cnw-0.4571_Cmix0.8133_Cjet0_Cturb1.5,optimizer,0.2621957697,25.4982,true,2.5,-0.4571211656,0,1.5,0.8133136031
ffs_Reh6000_Csep0.8792_Cnw2_Cmix1_Cjet0_Cturb2.5,optimizer,0.339904869,25.9612,true,0.8792295747,2,0,2.5,1
ffs_Reh6000_Csep1.5358_Cnw0.8625_Cmix0.4931_Cjet0.9855_Cturb1.5,optimizer,0.196982451,25.5344,true,1.535847356,0.8625306235,0.9855039245,1.5,0.4931029309
ffs_Reh6000_Csep1.9045_Cnw1.0393_Cmix1_Cjet0.361_Cturb1.5,optimizer,0.2092671097,24.3521,true,1.904534079,1.03929034,0.3610479914,1.5,1
ffs_Reh6000_Csep1.6546_Cnw-0.0439_Cmix1_Cjet0.6379_Cturb1.5,optimizer,0.2054765695,24.6879,true,1.654591065,-0.0438966968,0.6378851133,1.5,1
ffs_Reh6000_Csep1.2684_Cnw-0.1011_Cmix0.3975_Cjet0_Cturb1.5,optimizer,0.2258281776,26.0399,true,1.26842582,-0.1011498178,0,1.5,0.3975401978
ffs_Reh6000_Csep1.1668_Cnw0.3161_Cmix0.3283_Cjet1.0625_Cturb1.5202,optimizer,0.1984207729,26.3087,true,1.166837689,0.3161271986,1.062540136,1.520208929,0.3282637462
ffs_Reh6000_Csep1.7156_Cnw0.0456_Cmix0.6776_Cjet1.2_Cturb1.5,optimizer,0.2032887844,25.0784,true,1.71564524,0.04555916053,1.2,1.5,0.6776090889
ffs_Reh6000_Csep1.7857_Cnw0.6904_Cmix1_Cjet1.2_Cturb1.6508,optimizer,0.1998374971,25.8827,true,1.78569308,0.6903663214,1.2,1.650804386,1
