run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cmix,geko_cturb,geko_cjet
alpha1.0_Re2800_Csep0.7_Cnw1.0276_Cmix1_Cjet1.2_Cturb2.5,optimizer,1.644360962,19.9786,true,0.7,1.027558821,1,2.5,1.2
alpha1.0_Re2800_Csep2.5_Cnw2_Cmix-0.2_Cjet0_Cturb0.5,optimizer,3.212598768,28.3889,true,2.5,2,-0.2,0.5,0
alpha1.0_Re2800_Csep1.5712_Cnw-0.3768_Cmix0.5457_Cjet0.4995_Cturb0.9893,optimizer,1.277907448,20.6991,true,1.571207605,-0.3767839474,0.5456592528,0.9893218754,0.4995304053
alpha1.0_Re2800_Csep1.0218_Cnw0.6333_Cmix0.7845_Cjet0.9982_Cturb1.4271,optimizer,1.091155643,21.1473,true,1.02184462,0.6333461343,0.7845249849,1.427079916,0.9982479522
alpha1.0_Re2800_Csep1.0474_Cnw0.3708_Cmix0.7617_Cjet1.0531_Cturb1.4321,optimizer,1.101878425,22.4625,true,1.047350955,0.3707652582,0.7617432571,1.432077451,1.053082349
alpha1.0_Re2800_Csep1.0728_Cnw0.4814_Cmix0.7896_Cjet0.9945_Cturb1.4768,optimizer,1.084615992,22.0492,true,1.072799877,0.4813602176,0.7896325162,1.476768313,0.9945152354
alpha1.0_Re2800_Csep1.6635_Cnw2_Cmix0.6058_Cjet1.2_Cturb2.5,optimizer,2.302695317,18.6229,true,1.663478266,2,0.6057610444,2.5,1.2
alpha1.0_Re2800_Csep1.0783_Cnw0.2455_Cmix0.5197_Cjet0.745_Cturb1.5292,optimizer,1.186609522,18.2942,true,1.078278275,0.245546014,0.5196869723,1.52916971,0.7449840019
alpha1.0_Re2800_Csep2.5_Cnw-2_Cmix-0.2_Cjet0_Cturb2.5,optimizer,4.497014425,33.6152,true,2.5,-2,-0.2,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw-0.5226_Cmix1_Cjet0_Cturb2.5,optimizer,1.515759504,22.7159,true,0.7,-0.5226398451,1,2.5,0
alpha1.0_Re2800_Csep1.5445_Cnw0.3405_Cmix0.4487_Cjet0.6231_Cturb1.2192,optimizer,1.260847703,25.2078,true,1.544527778,0.3404761214,0.4487406714,1.219188091,0.6230509506
alpha1.0_Re2800_Csep0.7_Cnw0.3313_Cmix0.612_Cjet0.9073_Cturb1.7366,optimizer,1.331100328,23.2724,true,0.7,0.3313027864,0.612000563,1.736634743,0.9072694756
alpha1.0_Re2800_Csep0.7_Cnw-1.591_Cmix1_Cjet0_Cturb1.3687,optimizer,1.729824577,18.7551,true,0.7,-1.591043441,1,1.368724296,0
alpha1.0_Re2800_Csep1.1325_Cnw-0.0912_Cmix0.5597_Cjet0.4412_Cturb1.3104,optimizer,1.267438975,17.1745,true,1.132453223,-0.09123464499,0.5596985181,1.310398737,0.4411520454
alpha1.0_Re2800_Csep0.7_Cnw0.3842_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,1.306788957,19.6862,true,0.7,0.3841991029,-0.2,2.5,1.2
alpha1.0_Re2800_Csep1.1391_Cnw0.8075_Cmix1_Cjet1.2_Cturb1.4399,optimizer,1.159827357,16.3775,true,1.139118418,0.8075045121,1,1.439909227,1.2
alpha1.0_Re2800_Csep0.7_Cnw2_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,2.057079982,20.1820,true,0.7,2,-0.2,2.5,1.2
alpha1.0_Re2800_Csep0.7_Cnw-0.8472_Cmix-0.2_Cjet1.2_Cturb2.5,optimizer,1.392966591,18.2526,true,0.7,-0.8471695345,-0.2,2.5,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.0381_Cmix0.1743_Cjet1.2_Cturb2.5,optimizer,1.31710331,15.9343,true,0.7,0.03805402156,0.1743016863,2.5,1.2
alpha1.0_Re2800_Csep0.7_Cnw0.0524_Cmix0.0507_Cjet0.7894_Cturb2.5,optimizer,1.304204672,17.7844,true,0.7,0.05236798738,0.05067665017,2.5,0.7893647908
alpha1.0_Re2800_Csep0.7_Cnw0.0219_Cmix0.4272_Cjet0.2982_Cturb2.5,optimizer,1.399440398,16.2786,true,0.7,0.02194534755,0.4271993032,2.5,0.2982213102
alpha1.0_Re2800_Csep0.7_Cnw-1.1746_Cmix1_Cjet0.3987_Cturb0.5,optimizer,2.475779395,17.1498,true,0.7,-1.174649246,1,0.5,0.3986784268
alpha1.0_Re2800_Csep0.7_Cnw-2_Cmix1_Cjet0_Cturb2.5,optimizer,1.977266348,23.1913,true,0.7,-2,1,2.5,0
alpha1.0_Re2800_Csep0.7_Cnw0.9387_Cmix0.7102_Cjet0_Cturb2.5,optimizer,1.663354446,19.4782,true,0.7,0.9387340612,0.7101900388,2.5,0
alpha1.0_Re2800_Csep1.2783_Cnw-0.3044_Cmix0.3957_Cjet0.6143_Cturb1.1365,optimizer,1.32318514,21.4166,true,1.278312014,-0.3043573834,0.3956781576,1.136452317,0.6142528731
alpha1.0_Re2800_Csep0.7_Cnw-0.4106_Cmix0.6414_Cjet0_Cturb1.8956,optimizer,1.451464238,17.2661,true,0.7,-0.4105559812,0.6414418708,1.895558642,0
alpha1.0_Re2800_Csep1.6439_Cnw0.0006_Cmix0.4389_Cjet0.3544_Cturb0.7604,optimizer,1.17437539,17.4756,true,1.643928516,0.0005761264931,0.4389043662,0.7603572368,0.3543772296
