level,nodes,min_size,max_size,bl_first_layer_height,dns_error,percentual_error
-11,29188,13.629089942912538,40.887269828737615,1.3629089942912538,0.9906966966989972,0.006243383348064618
-10,32591,12.44159999999999,37.32479999999997,1.244159999999999,0.987707730923659,-0.2954788690718227
-9,36646,11.357574952427116,34.07272485728135,1.1357574952427116,0.988042902735082,-0.261644826967829
-8,41592,10.367999999999995,31.103999999999985,1.0367999999999995,0.9934356210358596,0.2827251105542859
-7,47241,9.464645793689266,28.393937381067797,0.9464645793689266,0.9896977080387892,-0.09459989534949012
-6,53998,8.639999999999997,25.91999999999999,0.8639999999999997,0.990070279248704,-0.056990557173112195
-5,62201,7.887204828074389,23.66161448422317,0.7887204828074389,0.9902883732929748,-0.03497497344857431
-4,71791,7.1999999999999975,21.599999999999994,0.7199999999999998,0.9905087148601373,-0.012732512696925673
-3,83553,6.572670690061992,19.718012070185978,0.6572670690061992,0.9877245638942466,-0.29377965864844136
-2,97377,5.999999999999998,17.999999999999996,0.5999999999999999,0.9856487817698916,-0.5033202506689287
-1,113994,5.47722557505166,16.431676725154983,0.5477225575051661,0.9906277074896432,-0.0007207578310306223
0,133707,5.0,15.0,0.5,0.990634847567884,0.0
1,157769,4.564354645876384,13.693063937629153,0.45643546458763845,0.9845633742096476,-0.6128871170989553
2,186023,4.166666666666668,12.500000000000002,0.41666666666666674,0.9905802019137252,-0.005516225710509127
3,219315,3.803628871563655,11.410886614690964,0.38036288715636546,0.9897317090709428,-0.09116764862033058
4,260664,3.472222222222223,10.41666666666667,0.3472222222222223,0.9893056934916078,-0.13417194837627852
