run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw
ffs_Reh2000_geko_default,baseline,0.6285663109,128.0913,true,1.75,0.5
ffs_Reh2000_Csep2.2155_Cnw-0.5335,optimizer,1.084379465,54.5519,true,2.215501921,-0.5334835882
ffs_Reh2000_Csep1.3155_Cnw1.4665,optimizer,0.8667051108,105.0606,true,1.315501921,1.466516412
ffs_Reh2000_Csep1.7655_Cnw0.4665,optimizer,0.6427031494,142.4516,true,1.765501921,0.4665164118
ffs_Reh2000_Csep0.8655_Cnw-1.5335,optimizer,1.333817157,137.2419,true,0.8655019206,-1.533483588
ffs_Reh2000_Csep1.0905_Cnw0.9665,optimizer,0.7290759079,112.0807,true,1.090501921,0.9665164118
ffs_Reh2000_Csep1.9905_Cnw-1.0335,optimizer,1.197420657,121.4234,true,1.990501921,-1.033483588
ffs_Reh2000_Csep1.5405_Cnw-0.0335,optimizer,0.7845416921,133.2986,true,1.540501921,-0.03348358823
ffs_Reh2000_Csep2.4405_Cnw1.9665,optimizer,1.276443685,133.0963,true,2.440501921,1.966516412
ffs_Reh2000_Csep0.753_Cnw0.7165,optimizer,0.8831550842,122.7006,true,0.7530019206,0.7165164118
ffs_Reh2000_Csep1.653_Cnw-1.2835,optimizer,1.198922975,126.1419,true,1.653001921,-1.283483588
ffs_Reh2000_Csep2.103_Cnw-0.2835,optimizer,0.9705429597,139.4397,true,2.103001921,-0.2834835882
ffs_Reh2000_Csep1.203_Cnw1.7165,optimizer,0.919809757,119.1279,true,1.203001921,1.716516412
ffs_Reh2000_Csep0.978_Cnw0.2165,optimizer,0.7127055914,109.0916,true,0.9780019206,0.2165164118
ffs_Reh2000_Csep1.878_Cnw-1.7835,optimizer,1.418520296,129.3292,true,1.878001921,-1.783483588
ffs_Reh2000_Csep1.428_Cnw1.2165,optimizer,0.8128044374,137.2949,true,1.428001921,1.216516412
ffs_Reh2000_Csep2.328_Cnw-0.7835,optimizer,1.199994761,117.4575,true,2.328001921,-0.7834835882
ffs_Reh2000_Csep1.7971_Cnw0.6152,optimizer,0.6746138345,121.4989,true,1.797121563,0.6151614839
ffs_Reh2000_Csep1.6892_Cnw0.4524,optimizer,0.6411710272,131.9520,true,1.689230966,0.4523887701
ffs_Reh2000_Csep1.2378_Cnw0.5043,optimizer,0.6043323434,130.7343,true,1.237789261,0.5042809305
ffs_Reh2000_Csep0.7_Cnw2,optimizer,1.527140788,125.5829,true,0.7,2
ffs_Reh2000_Csep1.351_Cnw0.5673,optimizer,0.6264475954,120.0862,true,1.350968241,0.5673020204
ffs_Reh2000_Csep1.1587_Cnw0.5291,optimizer,0.6106545467,136.5677,true,1.158658678,0.5290610293
ffs_Reh2000_Csep1.2093_Cnw0.3704,optimizer,0.6406280699,118.1319,true,1.20925901,0.3704375642
ffs_Reh2000_Csep1.23_Cnw0.6126,optimizer,0.6331809504,121.2244,true,1.229981188,0.6126493088
ffs_Reh2000_Csep1.0302_Cnw0.5656,optimizer,0.6329995863,135.7410,true,1.030191558,0.5656268942
ffs_Reh2000_Csep1.6737_Cnw2,optimizer,1.072633746,138.1945,true,1.673705449,2
ffs_Reh2000_Csep2.5_Cnw0.5613,optimizer,0.8034364382,123.0572,true,2.5,0.5612633311
ffs_Reh2000_Csep0.7_Cnw-0.106,optimizer,1.104857009,124.4702,true,0.7,-0.1059635957
ffs_Reh2000_Csep1.333_Cnw0.4351,optimizer,0.6262544398,138.3837,true,1.33300768,0.4350527501
ffs_Reh2000_Csep2.5_Cnw-2,optimizer,1.682381299,138.1874,true,2.5,-2
