iteration,point,cost,best_point,best_cost
0,(1.500000),0.040000,(1.500000),0.040000
1,(2.000000),0.490000,(1.500000),0.040000
2,(1.918280),0.382271,(1.500000),0.040000
3,(0.075032),1.500546,(1.500000),0.040000
4,(0.825088),0.225541,(1.500000),0.040000
5,(0.669632),0.397364,(1.500000),0.040000
6,(2.209414),0.827033,(1.500000),0.040000
7,(2.030098),0.533044,(1.500000),0.040000
8,(1.504967),0.042012,(1.500000),0.040000
9,(1.498617),0.039449,(1.498617),0.039449
10,(1.505094),0.042064,(1.498617),0.039449
11,(1.513848),0.045731,(1.498617),0.039449
12,(1.496276),0.038524,(1.496276),0.038524
13,(1.493934),0.037611,(1.493934),0.037611
14,(1.509727),0.043985,(1.493934),0.037611
15,(1.501609),0.040646,(1.493934),0.037611
16,(1.489240),0.035812,(1.489240),0.035812
17,(1.494665),0.037895,(1.489240),0.035812
18,(1.484606),0.034079,(1.484606),0.034079
19,(1.479948),0.032381,(1.479948),0.032381
