run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw,geko_cjet,geko_cturb,geko_cmix
ffs_Reh4000_geko_default,baseline,0.3105654467,43.3786,true,1.75,0.5,1,2,0
ffs_Reh4000_Csep2.0525_Cnw-0.4716_Cmix0.1365_Cjet0.9845_Cturb1.9171,optimizer,0.3713500246,29.7165,true,2.052529707,-0.4716351849,0.9844590539,1.917066462,0.1364792622
ffs_Reh4000_Csep1.1525_Cnw1.5284_Cmix0.7365_Cjet0.3845_Cturb2.4171,optimizer,0.3235458398,28.4580,true,1.152529707,1.528364815,0.3844590539,2.417066462,0.7364792622
ffs_Reh4000_Csep1.6025_Cnw0.5284_Cmix-0.1635_Cjet0.6845_Cturb2.1671,optimizer,0.3737852674,35.7831,true,1.602529707,0.5283648151,0.6844590539,2.167066462,-0.1635207378
ffs_Reh4000_Csep0.7025_Cnw-1.4716_Cmix0.4365_Cjet0.0845_Cturb1.6671,optimizer,0.3451747924,28.3530,true,0.7025297067,-1.471635185,0.0844590539,1.667066462,0.4364792622
ffs_Reh4000_Csep0.9275_Cnw1.0284_Cmix-0.0135_Cjet0.5345_Cturb2.0421,optimizer,0.2719407869,31.9791,true,0.9275297067,1.028364815,0.5344590539,2.042066462,-0.01352073775
ffs_Reh4000_Csep1.8275_Cnw-0.9716_Cmix0.5865_Cjet1.1345_Cturb1.5421,optimizer,0.3123575132,28.4629,true,1.827529707,-0.9716351849,1.134459054,1.542066462,0.5864792622
ffs_Reh4000_Csep1.3775_Cnw0.0284_Cmix0.2865_Cjet0.2345_Cturb2.2921,optimizer,0.3287065443,29.2625,true,1.377529707,0.02836481508,0.2344590539,2.292066462,0.2864792622
ffs_Reh4000_Csep2.2775_Cnw-1.9716_Cmix0.8865_Cjet0.8345_Cturb1.7921,optimizer,0.4114447094,29.3995,true,2.277529707,-1.971635185,0.8344590539,1.792066462,0.8864792622
ffs_Reh4000_Csep2.39_Cnw0.7784_Cmix0.8115_Cjet0.1595_Cturb1.6046,optimizer,0.2971336637,28.4523,true,2.390029707,0.7783648151,0.1594590539,1.604566462,0.8114792622
