run_id,trial_role,score,cost_seconds,converged,geko_csep,geko_cnw
ffs_Reh4000_geko_default,baseline,0.7216269815,118.4160,true,1.75,0.5
ffs_Reh4000_Csep2.0525_Cnw-0.4716,optimizer,1.192944184,119.7468,true,2.052529707,-0.4716351849
ffs_Reh4000_Csep1.1525_Cnw1.5284,optimizer,0.8887810131,123.6595,true,1.152529707,1.528364815
ffs_Reh4000_Csep1.6025_Cnw0.5284,optimizer,0.715558983,128.6925,true,1.602529707,0.5283648151
ffs_Reh4000_Csep0.7025_Cnw-1.4716,optimizer,0.9686246352,148.7257,true,0.7025297067,-1.471635185
ffs_Reh4000_Csep0.9275_Cnw1.0284,optimizer,0.6675510109,145.0151,true,0.9275297067,1.028364815
ffs_Reh4000_Csep1.8275_Cnw-0.9716,optimizer,1.311879465,115.3202,true,1.827529707,-0.9716351849
ffs_Reh4000_Csep1.3775_Cnw0.0284,optimizer,0.826492402,118.7198,true,1.377529707,0.02836481508
ffs_Reh4000_Csep2.2775_Cnw-1.9716,optimizer,1.897494704,132.0748,true,2.277529707,-1.971635185
ffs_Reh4000_Csep2.39_Cnw0.7784,optimizer,1.00217736,117.5470,true,2.390029707,0.7783648151
ffs_Reh4000_Csep1.49_Cnw-1.2216,optimizer,1.309111509,115.9640,true,1.490029707,-1.221635185
ffs_Reh4000_Csep1.94_Cnw-0.2216,optimizer,1.05630091,130.9187,true,1.940029707,-0.2216351849
ffs_Reh4000_Csep1.04_Cnw1.7784,optimizer,0.8993606587,145.5955,true,1.040029707,1.778364815
ffs_Reh4000_Csep0.815_Cnw0.2784,optimizer,0.5779575967,130.3617,true,0.8150297067,0.2783648151
ffs_Reh4000_Csep1.715_Cnw-1.7216,optimizer,1.569855186,116.5731,true,1.715029707,-1.721635185
ffs_Reh4000_Csep1.265_Cnw1.2784,optimizer,0.8671883481,143.3118,true,1.265029707,1.278364815
ffs_Reh4000_Csep2.165_Cnw-0.7216,optimizer,1.332104115,136.8742,true,2.165029707,-0.7216351849
ffs_Reh4000_Csep0.7_Cnw0.6187,optimizer,0.6465093176,128.7282,true,0.7,0.6186955888
ffs_Reh4000_Csep0.8898_Cnw0.3678,optimizer,0.5615804941,127.4105,true,0.8897513902,0.3677777694
ffs_Reh4000_Csep2.5_Cnw2,optimizer,1.525232078,118.0745,true,2.5,2
ffs_Reh4000_Csep0.9334_Cnw0.2231,optimizer,0.6090830284,136.7722,true,0.9334488579,0.2230573839
ffs_Reh4000_Csep0.9273_Cnw0.5657,optimizer,0.5549285705,140.7162,true,0.9272890426,0.56570098
ffs_Reh4000_Csep0.8634_Cnw0.5358,optimizer,0.5362882719,128.2850,true,0.8633866688,0.5357676563
ffs_Reh4000_Csep1.8634_Cnw1.1881,optimizer,1.002843965,120.0657,true,1.863402858,1.188050213
ffs_Reh4000_Csep0.8548_Cnw0.5982,optimizer,0.5513278908,152.4490,true,0.8547814789,0.5982386472
ffs_Reh4000_Csep0.7_Cnw2,optimizer,1.1469457,141.8497,true,0.7,2
ffs_Reh4000_Csep0.9319_Cnw-2,optimizer,1.248465471,151.8752,true,0.9318572569,-2
ffs_Reh4000_Csep2.5_Cnw-0.0104,optimizer,1.131538393,115.4438,true,2.5,-0.01041410926
ffs_Reh4000_Csep0.7_Cnw-0.4593,optimizer,0.7950900401,133.0976,true,0.7,-0.45930482
ffs_Reh4000_Csep1.1915_Cnw0.5739,optimizer,0.6443263513,122.0007,true,1.191536411,0.5739285065
ffs_Reh4000_Csep0.8216_Cnw0.4717,optimizer,0.535564666,144.9940,true,0.8216314158,0.4717157467
ffs_Reh4000_Csep0.849_Cnw0.4818,optimizer,0.5311683372,142.6350,true,0.8489768163,0.4817963084
ffs_Reh4000_Csep0.8489_Cnw0.4708,optimizer,0.5336037855,124.5496,true,0.8489326113,0.4707944223
ffs_Reh4000_Csep1.6281_Cnw2,optimizer,1.212119993,116.8574,true,1.628116892,2
ffs_Reh4000_Csep1.0266_Cnw0.5204,optimizer,0.5758745271,123.6185,true,1.026632777,0.5204239211
ffs_Reh4000_Csep0.7_Cnw0.0591,optimizer,0.6978806633,142.7577,true,0.7,0.05911768067
ffs_Reh4000_Csep1.0716_Cnw0.82,optimizer,0.6681727555,135.0580,true,1.07164551,0.8199724554
ffs_Reh4000_Csep1.4118_Cnw0.653,optimizer,0.7237032771,116.7530,true,1.411755062,0.6530305917
ffs_Reh4000_Csep1.9717_Cnw0.5456,optimizer,0.8010182261,118.0720,true,1.971661166,0.5456313148
ffs_Reh4000_Csep0.9752_Cnw-0.6579,optimizer,0.8642060675,149.1312,true,0.9752129262,-0.657876283
ffs_Reh4000_Csep0.7_Cnw1.2131,optimizer,0.8491075107,149.7550,true,0.7,1.213060074
ffs_Reh4000_Csep0.8384_Cnw-0.1087,optimizer,0.6616027459,129.9374,true,0.8384324876,-0.1086704589
ffs_Reh4000_Csep0.7_Cnw-2,optimizer,1.069562794,137.2585,true,0.7,-2
ffs_Reh4000_Csep1.6067_Cnw0.9637,optimizer,0.8619838361,115.8151,true,1.606678547,0.9637171646
ffs_Reh4000_Csep2.0486_Cnw2,optimizer,1.368076244,121.6895,true,2.04863967,2
ffs_Reh4000_Csep1.6465_Cnw0.0725,optimizer,0.8662813529,134.4135,true,1.646527902,0.07245103963
ffs_Reh4000_Csep1.265_Cnw2,optimizer,1.072695968,122.3237,true,1.26498349,2
ffs_Reh4000_Csep2.2003_Cnw0.3277,optimizer,0.913403235,115.7035,true,2.200333964,0.3277027925
ffs_Reh4000_Csep2.5_Cnw-1.0516,optimizer,1.576766868,128.4467,true,2.5,-1.05158451
